Path,Class
0.jpg,2
1.jpg,2
2.jpg,4
3.jpg,2
4.jpg,4
5.jpg,1
6.jpg,1
7.jpg,1
8.jpg,1
9.jpg,7
10.jpg,1
11.jpg,3
12.jpg,1
13.jpg,7
14.jpg,7
15.jpg,8
16.jpg,1
17.jpg,9
18.jpg,1
19.jpg,2
20.jpg,2
21.jpg,4
22.jpg,4
23.jpg,1
24.jpg,1
25.jpg,1
26.jpg,2
27.jpg,1
28.jpg,0
29.jpg,1
30.jpg,1
31.jpg,1
32.jpg,0
33.jpg,2
34.jpg,1
35.jpg,0
36.jpg,2
37.jpg,0
38.jpg,1
39.jpg,2
40.jpg,6
41.jpg,1
42.jpg,2
43.jpg,0
44.jpg,1
45.jpg,1
46.jpg,1
47.jpg,6
48.jpg,7
49.jpg,1
50.jpg,9
51.jpg,1
52.jpg,8
53.jpg,0
54.jpg,7
55.jpg,7
56.jpg,1
57.jpg,9
58.jpg,1
59.jpg,1
60.jpg,2
61.jpg,1
62.jpg,1
63.jpg,8
64.jpg,2
65.jpg,4
66.jpg,0
67.jpg,1
68.jpg,2
69.jpg,4
70.jpg,0
71.jpg,1
72.jpg,4
73.jpg,2
74.jpg,8
75.jpg,6
76.jpg,1
77.jpg,2
78.jpg,2
79.jpg,1
80.jpg,8
81.jpg,0
82.jpg,0
83.jpg,7
84.jpg,1
85.jpg,1
86.jpg,2
87.jpg,0
88.jpg,4
89.jpg,7
90.jpg,1
91.jpg,1
92.jpg,1
93.jpg,7
94.jpg,0
95.jpg,8
96.jpg,2
97.jpg,2
98.jpg,2
99.jpg,2
100.jpg,1
101.jpg,8
102.jpg,1
103.jpg,2
104.jpg,7
105.jpg,2
106.jpg,7
107.jpg,2
108.jpg,2
109.jpg,1
110.jpg,2
111.jpg,7
112.jpg,4
113.jpg,1
114.jpg,2
115.jpg,0
116.jpg,0
117.jpg,1
118.jpg,0
119.jpg,2
120.jpg,1
121.jpg,2
122.jpg,2
123.jpg,6
124.jpg,1
125.jpg,7
126.jpg,1
127.jpg,6
128.jpg,2
129.jpg,0
130.jpg,1
131.jpg,1
132.jpg,2
133.jpg,1
134.jpg,2
135.jpg,0
136.jpg,4
137.jpg,1
138.jpg,1
139.jpg,1
140.jpg,2
141.jpg,4
142.jpg,4
143.jpg,2
144.jpg,4
145.jpg,1
146.jpg,2
147.jpg,2
148.jpg,1
149.jpg,8
150.jpg,1
151.jpg,4
152.jpg,1
153.jpg,0
154.jpg,2
155.jpg,2
156.jpg,2
157.jpg,7
158.jpg,4
